,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Korgen,NO,66.0771,13.8153,29.26,92,82,3.62,broken clouds
346,Mushie,CD,-3.0167,16.9,71.35,86,65,1.43,broken clouds
347,Sokolskoye,RU,57.1412,43.1589,0.7,99,95,6.17,overcast clouds
348,Mount Isa,AU,-20.7333,139.5,91.17,38,9,11.5,clear sky
349,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,3.44,clear sky
350,Tomatlan,MX,19.9333,-105.25,67.48,83,100,1.54,overcast clouds
351,Columbus,US,39.9612,-82.9988,29.1,93,0,3.44,mist
352,Brae,GB,60.3964,-1.353,39.11,57,95,30.4,overcast clouds
353,Livingston,GB,55.9029,-3.5226,36.23,81,92,6.76,overcast clouds
354,Saldanha,ZA,-33.0117,17.9442,62.65,99,35,7.87,scattered clouds
355,Acara,BR,-1.9608,-48.1967,73.26,99,100,1.39,light rain
356,Koutsouras,GR,35.0339,25.9469,54.1,85,66,6.64,broken clouds
357,Bilma,NE,18.6853,12.9164,56.57,18,0,7.92,clear sky
358,Rio Gallegos,AR,-51.6226,-69.2181,66.25,42,0,28.77,clear sky
359,Forio,IT,40.7342,13.8646,55.42,84,17,5.01,few clouds
360,Ketchikan,US,55.3422,-131.6461,46.38,87,100,12.66,heavy intensity rain
361,Road Town,VG,18.4167,-64.6167,75.99,72,80,22.93,broken clouds
362,Cidreira,BR,-30.1811,-50.2056,68.22,74,8,7.81,clear sky
363,Broome,US,42.2506,-75.833,23.9,68,4,1.01,clear sky
364,Wick,GB,58.4333,-3.0833,37.15,80,32,10.36,scattered clouds
365,Itoman,JP,26.1247,127.6694,66.22,55,75,10.36,broken clouds
366,Largo,US,27.9095,-82.7873,60.78,89,100,3.0,overcast clouds
367,Luderitz,NA,-26.6481,15.1594,67.19,78,40,3.09,scattered clouds
368,Bushehr,IR,28.9684,50.8385,59.09,51,0,19.57,clear sky
369,Padang,ID,-0.9492,100.3543,84.25,68,100,1.23,overcast clouds
370,Vammala,FI,61.3333,22.9,30.9,99,83,4.25,broken clouds
371,Viru,PE,-8.4167,-78.75,67.3,72,100,2.73,overcast clouds
372,Clyde River,CA,70.4692,-68.5914,-34.37,67,0,8.05,clear sky
373,Lida,BY,53.8833,25.2997,33.21,98,100,17.98,snow
374,Maturin,VE,9.75,-63.1767,71.85,95,10,5.23,clear sky
375,Antofagasta,CL,-23.65,-70.4,65.48,76,28,1.43,scattered clouds
376,Phalaborwa,ZA,-23.943,31.1411,69.08,84,5,9.53,clear sky
377,Kurilsk,RU,45.2333,147.8833,29.14,91,100,14.88,snow
378,Moses Lake,US,47.1301,-119.2781,36.18,97,100,5.61,overcast clouds
379,Hasaki,JP,35.7333,140.8333,48.29,34,6,7.05,clear sky
380,Chernyshevsk,RU,52.5243,117.0174,-5.67,94,88,2.57,overcast clouds
381,Beira,MZ,-19.8436,34.8389,77.09,88,40,12.66,scattered clouds
382,Guerrero Negro,MX,27.9769,-114.0611,60.46,55,0,8.66,clear sky
383,Boueni,YT,-12.9025,45.0761,82.38,75,4,7.76,clear sky
384,Amapa,BR,1.0,-52.0,71.08,99,100,1.41,overcast clouds
385,Zeya,RU,53.75,127.2667,5.49,64,12,1.5,few clouds
386,Bayan,CN,46.0833,127.4,9.0,84,100,5.35,overcast clouds
387,Payyannur,IN,12.1,75.2,75.63,71,39,1.61,scattered clouds
388,Alekseyevsk,RU,57.8406,108.3492,8.89,93,99,2.37,overcast clouds
389,College,US,64.8569,-147.8028,-5.01,77,100,0.0,overcast clouds
390,Yakeshi,CN,49.2833,120.7333,4.87,92,100,6.24,overcast clouds
391,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,14.97,scattered clouds
392,Chicama,PE,-7.8447,-79.1469,66.74,74,99,5.37,overcast clouds
393,Kirakira,SB,-10.4544,161.9205,85.84,73,100,13.22,overcast clouds
394,Teguise,ES,29.0605,-13.564,61.02,82,2,16.11,clear sky
395,Okhotsk,RU,59.3833,143.3,4.23,71,95,9.28,overcast clouds
396,Cayenne,GF,4.9333,-52.3333,80.1,87,75,4.0,broken clouds
397,Jizan,SA,17.3333,42.6667,74.34,69,51,3.87,broken clouds
398,Pimentel,PE,-6.8367,-79.9342,70.66,80,97,11.1,overcast clouds
399,San Cristobal,VE,7.7669,-72.225,69.98,89,46,1.23,scattered clouds
400,Bowen,AU,-20.0167,148.2333,84.42,58,83,18.54,broken clouds
401,Pontal Do Parana,BR,-25.6533,-48.5128,78.73,88,90,6.89,overcast clouds
402,Yamada,JP,39.4667,141.95,36.93,45,87,12.91,overcast clouds
403,Waterville,US,44.552,-69.6317,21.92,79,100,3.44,overcast clouds
404,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,74,75,21.99,broken clouds
405,Anadyr,RU,64.75,177.4833,-14.3,84,0,11.18,clear sky
406,Znamenskoye,RU,57.1281,73.8282,-2.78,97,100,4.36,overcast clouds
407,Salinas,US,36.6777,-121.6555,60.96,68,0,3.36,clear sky
408,Mapiripan,CO,2.8892,-72.1256,77.56,70,93,4.18,overcast clouds
409,Olafsvik,IS,64.8945,-23.7142,29.12,92,100,37.27,heavy snow
410,Paamiut,GL,61.994,-49.6678,10.49,78,100,27.0,light snow
411,Eston,CA,51.1501,-108.7514,35.49,74,0,13.06,clear sky
412,Mahibadhoo,MV,3.7833,72.9667,81.01,66,64,10.27,broken clouds
413,Ha Giang,VN,22.8333,104.9833,62.33,90,100,0.83,overcast clouds
414,Sungaipenuh,ID,-2.0833,101.3833,73.69,64,100,4.81,moderate rain
415,Goure,NE,13.9835,10.2704,63.01,14,0,10.09,clear sky
416,Eyl,SO,7.9803,49.8164,72.73,79,100,12.41,overcast clouds
417,Tateyama,JP,34.9833,139.8667,46.67,39,29,2.64,scattered clouds
418,Watrous,CA,51.6668,-105.4679,15.58,86,11,11.5,few clouds
419,Miandrivazo,MG,-19.5167,45.4667,75.22,80,100,6.08,overcast clouds
420,Zajecar,RS,43.9036,22.2641,39.34,81,99,7.94,overcast clouds
421,Vestmanna,FO,62.1564,-7.1664,27.52,69,20,6.91,few clouds
422,Bagdarin,RU,54.4333,113.6,5.63,78,82,0.47,broken clouds
423,Jackson,US,42.4165,-122.8345,57.07,52,0,4.61,clear sky
424,Taksimo,RU,56.3444,114.8794,0.0,93,100,0.98,overcast clouds
425,Okha,RU,53.5739,142.9478,4.62,94,100,23.8,snow
426,Suntar,RU,62.1444,117.6319,2.64,93,100,3.98,overcast clouds
427,Celestun,MX,20.8667,-90.4,71.44,83,6,12.17,clear sky
428,Toguchin,RU,55.2353,84.3858,-2.61,95,82,3.53,broken clouds
429,Voi,KE,-3.3945,38.563,72.95,83,100,1.25,overcast clouds
430,Baykit,RU,61.67,96.37,-6.72,99,49,2.98,scattered clouds
431,La Macarena,CO,2.1837,-73.7849,74.59,71,95,1.81,overcast clouds
432,Mackenzie,CA,55.2999,-123.1698,41.22,60,100,11.5,overcast clouds
433,Maltahohe,NA,-24.8333,16.9833,69.4,65,99,16.22,overcast clouds
434,Envira,BR,-7.3,-70.2167,72.7,98,100,1.1,light rain
435,Mundi,IN,22.0667,76.5,65.55,30,3,4.41,clear sky
436,Jalu,LY,29.0331,21.5482,55.08,34,2,7.09,clear sky
437,Kholodnyy,RU,62.7167,147.95,-14.8,76,8,1.14,clear sky
438,Tamandare,BR,-8.7597,-35.1047,79.63,71,59,6.49,broken clouds
439,Mbandaka,CD,0.0487,18.2603,72.09,43,84,0.29,broken clouds
440,Flateby,NO,59.8333,11.1667,35.19,83,50,3.78,scattered clouds
441,Ravar,IR,31.2656,56.8055,41.54,45,0,3.4,clear sky
442,Bindura,ZW,-17.3019,31.3306,65.01,96,62,3.15,broken clouds
443,Porto Nacional,BR,-10.7081,-48.4172,75.2,92,100,0.89,overcast clouds
444,Richards Bay,ZA,-28.783,32.0377,71.53,90,81,2.59,light rain
445,Manresa,ES,41.725,1.8266,48.24,79,8,4.0,clear sky
446,Pangai,TO,-19.8,-174.35,77.52,81,100,21.94,light rain
447,Nikolsk,RU,53.7189,46.0712,4.23,98,87,5.08,overcast clouds
448,Shingu,JP,33.7333,135.9833,43.79,39,89,10.45,overcast clouds
449,Dubrovnik,HR,42.6481,18.0922,53.24,87,75,16.11,broken clouds
450,Thunder Bay,CA,48.4001,-89.3168,9.55,75,75,6.91,broken clouds
451,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.63,44,0,6.02,clear sky
452,Ancud,CL,-41.8697,-73.8203,58.53,89,5,2.86,clear sky
453,Feijo,BR,-8.1642,-70.3536,72.05,97,100,1.97,overcast clouds
454,Codrington,AU,-38.2667,141.9667,83.08,30,0,13.8,clear sky
455,Nemuro,JP,43.3236,145.575,28.83,71,30,11.52,scattered clouds
456,Wukari,NG,7.85,9.7833,69.15,22,0,4.72,clear sky
457,Saint-Pierre,RE,-21.3393,55.4781,78.44,78,0,4.61,clear sky
458,Taunggyi,MM,20.7833,97.0333,62.64,31,12,5.57,few clouds
459,Kamina,CD,-8.7386,24.9906,63.41,97,100,5.57,overcast clouds
460,Dovolnoye,RU,54.4958,79.6671,-6.12,100,59,4.41,broken clouds
461,Keita,NE,14.7551,5.7749,61.97,14,0,9.93,clear sky
462,Pravdinsk,RU,54.4429,21.0179,37.24,87,100,15.9,overcast clouds
463,Saint-Georges,GD,12.0564,-61.7485,78.48,78,75,12.66,broken clouds
464,Aluksne,LV,57.4167,27.05,31.53,99,100,10.31,snow
465,Nanortalik,GL,60.1432,-45.2371,17.42,62,100,46.19,overcast clouds
466,Port Hardy,CA,50.6996,-127.4199,46.76,81,75,20.71,light intensity shower rain
467,Henties Bay,NA,-22.116,14.2845,67.86,83,93,5.19,overcast clouds
468,Romny,UA,50.751,33.4747,22.8,90,71,11.34,broken clouds
469,Clovis,US,36.8252,-119.7029,60.84,60,0,1.88,clear sky
470,Kahului,US,20.8947,-156.47,74.97,72,33,12.77,scattered clouds
471,Ugoofaaru,MV,5.6667,73.0,80.74,71,66,10.07,broken clouds
472,Pasni,PK,25.2631,63.471,69.8,83,0,3.58,clear sky
473,San Pedro,PH,14.35,121.0167,83.35,75,75,6.91,broken clouds
474,Stornoway,GB,58.2093,-6.3865,35.92,91,75,1.01,broken clouds
475,Manacor,ES,39.5696,3.2096,44.33,80,0,2.57,clear sky
476,Mahajanga,MG,-15.7167,46.3167,77.02,94,20,3.44,few clouds
477,Yanam,IN,16.7333,82.2167,73.8,66,92,3.4,overcast clouds
478,Vestmannaeyjar,IS,63.4427,-20.2734,37.38,97,100,58.56,heavy intensity rain
479,Virginia Beach,US,36.8529,-75.978,40.01,79,100,1.99,overcast clouds
480,Pingzhuang,CN,42.0372,119.2889,21.02,43,94,4.43,overcast clouds
481,Guilin,CN,25.2819,110.2864,44.71,85,99,8.75,overcast clouds
482,Tarauaca,BR,-8.1614,-70.7656,72.55,98,99,1.77,overcast clouds
483,Yeppoon,AU,-23.1333,150.7333,83.98,59,2,14.54,clear sky
484,Arvika,SE,59.6553,12.5852,27.21,87,47,2.75,scattered clouds
485,Andenes,NO,69.3143,16.1194,30.18,74,100,11.5,overcast clouds
486,George,ZA,-33.963,22.4617,63.95,63,0,3.44,clear sky
487,Lashio,MM,22.9333,97.75,62.94,42,0,0.94,clear sky
488,Saryg-Sep,RU,51.5,95.6,-8.63,97,99,1.32,overcast clouds
489,Kihei,US,20.785,-156.4656,74.97,72,53,12.06,broken clouds
490,Hervey Bay,AU,-25.2986,152.8535,71.71,64,89,20.04,overcast clouds
491,Rodrigues Alves,BR,-7.738,-72.6509,73.76,96,100,1.63,overcast clouds
492,Mount Gambier,AU,-37.8333,140.7667,87.71,19,0,14.97,clear sky
493,Benfleet,GB,51.565,0.5558,42.76,72,5,1.99,clear sky
494,Hoquiam,US,46.9809,-123.8893,46.99,90,86,2.17,overcast clouds
495,Goianapolis,BR,-16.5106,-49.0239,72.68,96,96,3.29,overcast clouds
496,Berzence,HU,46.2091,17.1481,50.38,70,100,19.42,overcast clouds
497,Finnsnes,NO,69.2296,17.9811,26.56,90,100,3.85,overcast clouds
498,Great Bend,US,38.3645,-98.7648,36.97,59,4,6.29,clear sky
499,Pilar,BR,-9.5972,-35.9567,73.33,82,13,4.0,few clouds
500,Crotone,IT,39.0851,17.1178,48.92,76,13,11.48,few clouds
501,Saravan,AM,39.7196,45.6483,12.85,79,40,6.8,scattered clouds
502,Verkhniye Tatyshly,RU,56.2912,55.8575,12.7,98,100,3.09,overcast clouds
503,Ammon,US,43.4696,-111.9666,18.1,97,26,3.49,scattered clouds
504,Gamba,GA,-2.65,10.0,76.21,93,16,5.19,few clouds
505,Longyearbyen,SJ,78.2186,15.6401,15.64,73,0,4.61,clear sky
506,Puerto Penasco,MX,31.3167,-113.5333,66.9,16,0,3.0,clear sky
507,Ikalamavony,MG,-21.15,46.5833,65.53,90,88,4.14,overcast clouds
508,Wajir,KE,1.7471,40.0573,74.44,74,92,11.14,overcast clouds
509,Kattivakkam,IN,13.2167,80.3167,78.89,83,38,4.36,scattered clouds
510,Puro,PH,12.4841,123.3827,81.95,72,81,13.58,broken clouds
511,Sorland,NO,67.667,12.6934,38.19,75,100,16.82,overcast clouds
512,Pleasanton,US,37.6624,-121.8747,59.63,57,0,2.98,clear sky
513,The Valley,AI,18.217,-63.0578,77.09,73,84,23.02,broken clouds
514,Okato,NZ,-39.2,173.8833,66.69,91,100,8.81,overcast clouds
515,Bonanza,NI,14.0289,-84.591,64.65,94,20,2.75,few clouds
516,Nizhniy Kuranakh,RU,58.8353,125.4869,0.82,95,100,0.22,light snow
517,Onega,RU,63.9061,38.1404,8.31,94,83,12.15,broken clouds
518,Simiti,CO,7.9579,-73.9436,78.31,71,43,2.44,scattered clouds
519,Jinchang,CN,38.4953,102.1739,14.67,77,20,5.14,few clouds
520,Chabahar,IR,25.2919,60.643,68.99,63,0,10.69,clear sky
521,Palghar,IN,19.6833,72.75,71.58,62,39,3.67,scattered clouds
522,Lakselv,NO,70.0513,24.9718,21.02,73,92,25.32,overcast clouds
523,Copiapo,CL,-27.3667,-70.3333,68.72,58,0,1.97,clear sky
524,Campoverde,PE,-8.4753,-74.8058,73.02,96,100,1.45,overcast clouds
525,Chingirlau,KZ,51.095,54.0814,17.62,96,100,8.03,light snow
526,Kuah,MY,6.3265,99.8432,82.11,73,88,15.05,overcast clouds
527,Uige,AO,-7.6087,15.0613,64.45,98,99,0.65,overcast clouds
528,Llangefni,GB,53.2556,-4.3106,44.73,76,20,14.97,few clouds
529,Rio Bueno,CL,-40.3167,-72.9667,59.11,77,0,2.42,clear sky
530,Robertsport,LR,6.7533,-11.3686,79.07,83,47,2.8,light rain
531,Karla,EE,59.3723,24.9275,33.76,85,100,5.75,overcast clouds
532,Boffa,GN,10.1667,-14.0333,72.5,87,21,1.88,few clouds
533,Chateau-Thierry,FR,49.05,3.4,43.99,78,17,16.96,few clouds
534,Watertown,US,42.3709,-71.1828,26.08,86,53,2.26,broken clouds
535,Sinfra,CI,6.6167,-5.9167,70.77,94,23,2.04,few clouds
536,Hualmay,PE,-11.0964,-77.6139,70.59,79,100,9.15,overcast clouds
537,Tianpeng,CN,30.9866,103.9393,38.21,90,100,3.44,overcast clouds
538,Mecca,SA,21.4267,39.8261,63.34,47,1,2.3,clear sky
539,Tshikapa,CD,-6.4167,20.8,69.04,95,100,1.23,overcast clouds
540,Novo Aripuana,BR,-5.1206,-60.3797,73.17,98,93,1.88,moderate rain
541,Aquiraz,BR,-3.9014,-38.3911,82.18,81,2,6.55,clear sky
542,Delcevo,MK,41.9672,22.7694,34.66,93,8,3.13,clear sky
543,Broken Hill,AU,-31.95,141.4333,82.11,28,40,12.66,scattered clouds
544,Bronnoysund,NO,65.4625,12.1997,29.66,68,98,7.67,overcast clouds
545,Mulanje,MW,-16.0316,35.5,67.37,99,48,1.79,scattered clouds
546,Abu Samrah,SY,35.3029,37.1841,47.41,89,91,7.11,overcast clouds
547,Buchanan,LR,5.8808,-10.0467,77.54,87,90,5.46,light rain
548,Antalaha,MG,-14.9003,50.2788,74.95,84,41,4.25,scattered clouds
549,Marystown,CA,47.1666,-55.1483,19.85,100,91,11.52,overcast clouds
550,Singarayakonda,IN,15.25,80.0333,77.14,67,81,3.33,broken clouds
551,Piacabucu,BR,-10.4056,-36.4344,78.21,81,9,8.14,clear sky
552,Noyabrsk,RU,63.1994,75.4507,-15.09,100,71,6.96,broken clouds
553,Kletnya,RU,53.3897,33.2171,30.36,94,100,11.32,light snow
554,Karratha,AU,-20.7377,116.8463,90.97,58,65,10.78,broken clouds
555,Saryozek,KZ,44.3583,77.9753,29.62,98,100,5.41,snow
556,Lyubech,UA,51.7026,30.6569,29.77,95,100,12.17,overcast clouds
557,San Jose,US,37.3394,-121.895,60.85,55,0,3.44,clear sky
558,Itaqui,BR,-29.1253,-56.5531,64.62,40,0,8.23,clear sky
559,Katobu,ID,-4.9408,122.5276,85.3,68,99,7.45,overcast clouds
560,Popova,RU,42.9603,131.7228,17.69,58,2,5.23,clear sky
561,Susehri,TR,40.1644,38.0867,13.41,96,57,0.85,broken clouds
562,Dhaka,BD,23.7104,90.4074,60.78,82,0,4.61,mist
563,Mabaruma,GY,8.2,-59.7833,72.95,98,100,2.71,overcast clouds
564,Asilah,MA,35.465,-6.0348,58.96,85,0,14.92,clear sky
565,Enshi,CN,30.3,109.4833,36.72,98,89,0.29,overcast clouds
566,Vao,NC,-22.6667,167.4833,80.89,82,42,11.63,scattered clouds
567,Samarai,PG,-10.6167,150.6667,85.35,70,88,11.61,overcast clouds
568,Kiruna,SE,67.8557,20.2251,16.72,93,100,5.75,overcast clouds
569,Yazoo City,US,32.8551,-90.4056,40.75,62,0,4.27,clear sky
570,Yoichi,JP,43.2039,140.7703,29.48,72,100,14.34,light snow
571,Trang,TH,7.5,99.5,86.67,56,100,6.46,overcast clouds
572,Lorengau,PG,-2.0226,147.2712,83.64,76,99,7.54,overcast clouds
573,Andrews,US,32.3187,-102.5457,45.05,42,0,13.8,clear sky
574,Isangel,VU,-19.55,169.2667,79.25,92,100,18.48,moderate rain
575,Prince Rupert,CA,54.3161,-130.3201,44.69,81,100,18.41,light rain
