,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,-2.58,88,75,5.75,light snow
80,Hagere Selam,ET,6.4833,38.5167,46.27,38,9,2.93,clear sky
81,Kostomuksha,RU,64.571,30.5767,22.3,95,100,9.46,light snow
82,Thompson,CA,55.7435,-97.8558,-7.44,71,100,5.75,overcast clouds
83,Nabire,ID,-3.3667,135.4833,82.9,73,100,1.83,overcast clouds
84,Tasiilaq,GL,65.6145,-37.6368,23.16,53,100,60.31,light snow
85,Kargalinskaya,RU,43.7417,46.4792,34.81,71,100,11.12,overcast clouds
86,Tancanhuitz,MX,21.6,-98.9667,54.0,81,9,1.14,clear sky
87,Nema,RU,57.5067,50.5011,14.38,98,100,1.66,overcast clouds
88,Brigantine,US,39.4101,-74.3646,38.01,81,100,0.0,overcast clouds
89,Pacific Grove,US,36.6177,-121.9166,60.57,73,0,1.01,clear sky
90,Cherskiy,RU,68.75,161.3,-27.85,100,25,1.28,scattered clouds
91,Nelson Bay,AU,-32.7167,152.15,77.29,56,41,4.0,scattered clouds
92,Roebourne,AU,-20.7833,117.1333,89.92,60,74,10.47,broken clouds
93,Nuevitas,CU,21.5453,-77.2644,72.84,67,0,9.4,clear sky
94,Hofn,IS,64.2539,-15.2082,31.5,76,100,17.96,light snow
95,Atuona,PF,-9.8,-139.0333,78.8,77,12,17.09,few clouds
96,Russell,US,32.3502,-85.1999,51.08,72,100,5.77,overcast clouds
97,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.3,97,96,2.71,overcast clouds
98,Albany,US,42.6001,-73.9662,21.31,75,10,4.18,clear sky
99,Namibe,AO,-15.1961,12.1522,72.28,70,95,7.43,overcast clouds
100,Mogadishu,SO,2.0371,45.3438,76.87,83,40,14.97,scattered clouds
101,Iqaluit,CA,63.7506,-68.5145,-38.31,65,0,2.3,clear sky
102,Victoria,HK,22.2855,114.1577,65.97,90,100,1.01,overcast clouds
103,Chibombo,ZM,-14.6569,28.0706,61.57,98,100,4.18,overcast clouds
104,Yibin,CN,28.7667,104.6238,44.49,83,100,2.98,overcast clouds
105,Lazaro Cardenas,MX,17.9583,-102.2,75.24,68,11,6.08,few clouds
106,Ballina,AU,-28.8667,153.5667,75.38,77,75,18.41,broken clouds
107,Beaverlodge,CA,55.2166,-119.4361,42.15,78,100,3.98,overcast clouds
108,Yulara,AU,-25.2406,130.9889,89.44,20,0,9.22,clear sky
109,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,20,3.0,few clouds
110,Toamasina,MG,-18.1667,49.3833,73.4,88,20,0.0,few clouds
111,Ilam,NP,26.9167,87.9167,50.07,76,55,2.89,broken clouds
112,Provideniya,RU,64.3833,-173.3,3.31,66,0,13.42,clear sky
113,Fairbanks,US,64.8378,-147.7164,-3.41,76,100,0.0,overcast clouds
114,Mastic Beach,US,40.7668,-72.8521,33.98,80,100,5.99,overcast clouds
115,Vila Velha,BR,-20.3297,-40.2925,78.75,89,75,5.01,broken clouds
116,Tiksi,RU,71.6872,128.8694,-17.37,98,100,6.26,overcast clouds
117,Pomabamba,PE,-8.8333,-77.4667,47.79,88,100,2.08,overcast clouds
118,Morozovsk,RU,48.3539,41.8261,30.36,98,100,9.15,overcast clouds
119,Riyadh,SA,24.6877,46.7219,46.54,46,0,4.25,clear sky
120,Bilibino,RU,68.0546,166.4372,-10.97,78,18,4.03,few clouds
121,Alofi,NU,-19.0595,-169.9187,82.29,83,100,4.61,overcast clouds
122,Luebo,CD,-5.35,21.4167,68.32,99,100,0.78,light rain
123,Salalah,OM,17.0151,54.0924,73.49,27,0,6.91,clear sky
124,Torbay,CA,47.6666,-52.7314,12.88,76,75,16.11,broken clouds
125,Port Lincoln,AU,-34.7333,135.8667,79.56,48,0,18.32,clear sky
126,Georgetown,MY,5.4112,100.3354,84.13,80,20,1.01,light rain
127,Dikson,RU,73.5069,80.5464,-13.05,97,100,16.33,overcast clouds
128,Moose Factory,CA,51.2585,-80.6094,-4.02,77,20,3.44,few clouds
129,Komsomolskiy,UZ,40.4272,71.7189,38.55,87,75,4.61,broken clouds
130,Tuatapere,NZ,-46.1333,167.6833,60.82,44,0,6.46,clear sky
131,Deputatskiy,RU,69.3,139.9,-31.58,94,83,4.63,broken clouds
